date,total_energy
2018-07-29,5486.855000003
2018-07-30,7437.68
2018-07-31,7572.16
2018-08-01,6924.125000003
2018-08-02,7371.564999996
2018-08-03,8151.435
2018-08-04,8822.1
2018-08-05,6701.005
2018-08-06,7943.29
2018-08-07,7696.95
2018-08-08,7744.96
2018-08-09,8450.93
2018-08-10,8312.43
2018-08-11,7233.59
2018-08-12,6847.4800000000005
2018-08-13,7202.54
2018-08-14,7516.4400000000005
2018-08-15,7153.86
2018-08-16,7524.56
2018-08-17,8337.53
2018-08-22,577.49
2018-08-23,8126.4800000000005
2018-08-24,7387.95
2018-08-25,7141.87
2018-08-26,6562.21
2018-08-27,7633.805
2018-08-28,8025.845
2018-08-29,8173.02
2018-08-30,8415.657251961
2018-08-31,1910.367748042
2018-09-01,4005.792813851
2018-09-02,5908.39170155
2018-09-03,5937.7692119309995
2018-09-04,6728.469178353
2018-09-05,6592.524752036
2018-09-06,6415.746770627
2018-09-07,6954.064702412
2018-09-08,6706.044381441
2018-09-09,6691.601687668
2018-09-10,7533.872428728
2018-09-11,7377.142553332
2018-09-12,7015.371301036
2018-09-13,6691.419379362
2018-09-14,6828.006554224
2018-09-15,5948.193563161
2018-09-16,6387.228465358
2018-09-17,6735.306135774
2018-09-18,6483.066919569
2018-09-19,7171.080880692
2018-09-20,8202.817296981
2018-09-21,7495.610236497
2018-09-22,6301.794396108
2018-09-23,6442.247533549
2018-09-24,7246.124850554
2018-09-25,7031.159284149
2018-09-26,7473.790503049
2018-09-27,7080.629819182
2018-09-28,6382.024788049
2018-09-29,5813.169312225
2018-09-30,6393.260281741
2018-10-01,12817.409854564
2018-10-02,15186.859552647
2018-10-03,13738.829478484
2018-10-04,13401.471465965
2018-10-05,14042.196294917
2018-10-06,13604.417369717
2018-10-07,13740.502565469
2018-10-08,15974.338750162
2018-10-09,13855.404958527
2018-10-10,13132.603625639
2018-10-11,13677.086700636
2018-10-12,15769.255023428
2018-10-13,14464.388630934
2018-10-14,13534.88339934
2018-10-15,12796.314797929
2018-10-16,15843.184282034
2018-10-17,9511.922855407
2018-10-18,7433.188786708
2018-10-19,7733.72903427
2018-10-20,7292.864652332
2018-10-21,6483.879601625
2018-10-22,6773.079150184
2018-10-23,7244.493968983
2018-10-24,7655.552608807
2018-10-25,7782.717437042
2018-10-26,8155.098398348
2018-10-27,7419.708686146
2018-10-28,6707.126758221
2018-10-29,7413.045056905
2018-10-30,7495.904576317
2018-10-31,7875.873759124
2018-11-01,8360.944758561
2018-11-02,8648.08652123
2018-11-03,8048.204716481
2018-11-04,7628.148240665
2018-11-05,7774.853607902
2018-11-06,7956.456494017
2018-11-07,7737.997078169
2018-11-08,6661.191232153
2018-11-09,6290.282701054
2018-11-10,6371.954830126
2018-11-11,4898.093820722
2018-11-12,6709.0151271019995
2018-11-13,7172.166977122
2018-11-14,7575.742831464
2018-11-15,7253.901305189
2018-11-16,4007.841051492
2018-11-27,1680.019785718
2018-11-28,7242.823917905
2018-11-29,5204.5555518
2018-11-30,6790.589113384
2018-12-01,6159.258835932
2018-12-02,5929.523467088
2018-12-03,5605.83997434
2018-12-04,5215.946730815
2018-12-05,4924.898164672
2018-12-06,4491.843739627
2018-12-07,5373.995425333
2018-12-08,3498.211659841
2018-12-09,4306.427259352
2018-12-10,5731.649113141
2018-12-11,7685.234354862
2018-12-12,6831.520762847
2018-12-13,7063.070027321
2018-12-14,7106.226681471
2018-12-15,6708.405862151
2018-12-16,5960.532132916
2018-12-17,7502.0169955
2018-12-18,5302.153043247
2018-12-19,4872.739887883
2018-12-20,5356.949076612
2018-12-21,4939.751091057
2018-12-22,3970.205280317
2018-12-23,4068.011155309
2018-12-24,3817.8614867720003
2018-12-25,3273.875079824
2018-12-26,3805.435202238
2018-12-27,3615.393855165
2018-12-28,2679.945321864
2018-12-29,2144.468245792
2018-12-30,2110.409709781
2018-12-31,2452.756905214
2019-01-01,2220.088762984
2019-01-02,3542.6350922789998
2019-01-03,4968.347175394
2019-01-04,2838.447605236
2019-01-07,1098.9008164
2019-01-08,4210.24199148
2019-01-09,4102.507739592
2019-01-10,5195.002053145
2019-01-11,4842.420400414
2019-01-12,4158.246442715
2019-01-13,3791.641531822
2019-01-14,5469.5553503109995
2019-01-15,6098.780715336
2019-01-16,5126.308124388
2019-01-17,4495.894640161
2019-01-18,6214.385743887
2019-01-19,4494.710910394
2019-01-20,4307.622036003
2019-01-21,5093.187614796
2019-01-22,6132.589696921
2019-01-23,6843.271705806
2019-01-24,6681.381603691
2019-01-25,6593.91095475
2019-01-26,3960.980375662
2019-01-27,4940.899158892
2019-01-28,6662.682295321
2019-01-29,6923.991090196
2019-01-30,6496.152414085
2019-01-31,6584.854889136
2019-02-01,6126.006776585
2019-02-02,3072.638027495
2019-02-03,3541.401215104
2019-02-04,5453.080561944
2019-02-05,6082.902097803
2019-02-06,5601.219538827
2019-02-07,5675.538865823
2019-02-08,4729.648836136
2019-02-09,2323.4888312460002
2019-02-10,2159.123204822
2019-02-11,5199.802897631
2019-02-12,5240.494334442
2019-02-13,3587.920194176
2019-02-14,2460.338943138
2019-02-15,2676.583596045
2019-02-16,1881.741028507
2019-02-17,2660.78941972
2019-02-18,3326.32896441
2019-02-19,4353.719342086
2019-02-20,5592.172830069
2019-02-21,5174.358136738
2019-02-22,4449.592454338
2019-02-23,2389.475614305
2019-02-24,3083.880973376
2019-02-25,3565.23432779
2019-02-26,2516.763777022
2019-02-27,2010.747327701
2019-02-28,3622.326276865
2019-03-01,6078.434782247
2019-03-02,2875.726670634
2019-03-03,4164.411827519
2019-03-04,5536.490419609
2019-03-05,5089.701120968
2019-03-06,2738.846068769
2019-03-07,3616.295654718
2019-03-08,2878.962687833
2019-03-09,1733.179177865
2019-03-10,2490.90979113
2019-03-11,4453.156804186
2019-03-12,4777.500917613
2019-03-13,3748.992491945
2019-03-14,4534.326064114
2019-03-15,5622.168905556
2019-03-16,3776.917213977
2019-03-17,4573.5037422059995
2019-03-18,6383.567540942
2019-03-19,5541.279560862
2019-03-20,3786.917594909
2019-03-21,4849.712350399
2019-03-22,4479.979310132
2019-03-23,2221.379968356
2019-03-24,3548.780487995
2019-03-25,4207.371448058
2019-03-26,4942.477133204
2019-03-27,3404.516882624
2019-03-28,3897.647665845
2019-03-29,4552.577306005
2019-03-30,2688.14161243
2019-03-31,4494.965052063
2019-04-01,5633.882322047
2019-04-02,4732.138477369
2019-04-03,5102.981688873
2019-04-04,4828.57401784
2019-04-05,4372.980583418
2019-04-06,2642.361365999
2019-04-07,4068.264989998
2019-04-08,5635.449656963
2019-04-09,3962.993126759
2019-04-10,4415.011197569
2019-04-11,5158.933597408
2019-04-12,4529.845798153
2019-04-13,4041.801634456
2019-04-14,3086.499372698
2019-04-15,4425.940125733
2019-04-16,4652.905738073
2019-04-17,5213.524556525
2019-04-18,6355.00200725
2019-04-19,5869.318080155
2019-04-20,2459.167362384
2019-04-21,2947.455718627
2019-04-22,5984.368220418
2019-04-23,8294.323429176
2019-04-24,9029.38228299
2019-04-25,5674.555502977
2019-04-26,5666.40418505
2019-04-27,3963.158305234
2019-04-28,2799.512185381
2019-04-29,3906.757481436
2019-04-30,3122.108835367
2019-05-01,5033.083768529
2019-05-02,5640.040142358
2019-05-03,5567.333221481
2019-05-04,3438.422661916
2019-05-05,1800.661550729
2019-05-06,2209.650841434
2019-05-07,3445.245167702
2019-05-08,3691.026951495
2019-05-09,3146.473398903
2019-05-10,3744.862426189
2019-05-11,3072.009331969
2019-05-12,2628.774913407
2019-05-13,4256.602363969
2019-05-14,3894.451219199
2019-05-15,3877.443278356
2019-05-16,2329.732601964
2019-05-17,3274.326929126
2019-05-18,2472.229507606
2019-05-19,1545.375840525
2019-05-20,3556.610538042
2019-05-21,2894.488592413
2019-05-22,3620.961382301
